Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Total Tests,Population
Paraguay,"798,231",,"19,716",,N/A,N/A,"109,259","2,699","363,751",South America,371,3,,"10,977"
Bahrain,"699,264",,"1,539",,,531,"391,968",863,"5,969,305",Asia,"1,159",0,,298
Sri Lanka,"671,937",,"16,820",,,39,"31,143",780,"300,619",Asia,"1,283",3,,2
Kuwait,"662,747",,"2,570",,,82,"151,301",587,"1,928,464",Asia,"1,704",1,,19
Dominican Republic,"650,990",,"4,384",,,"1,821","58,879",397,"338,350",North America,"2,522",3,,165
Cyprus,"634,709",,"1,262",,,"9,147","518,813","1,032","7,879,860",Asia,969,0,,"7,477"
Myanmar,"633,724",,"19,490",,,"5,870","11,475",353,"178,420",Asia,"2,834",6,,106
Palestine,"621,008",,"5,404",,,159,"116,173","1,011","575,907",Asia,989,2,,30
Estonia,"612,432",,"2,872",,,"84,570","463,293","2,173","2,752,421",Europe,460,0,,"63,976"
Moldova,"596,914",,"11,936",,,"80,836","148,739","2,974","801,437",Europe,336,1,,"20,143"
Venezuela,"550,754",,"5,834",,,791,"18,818",199,"114,771",South America,"5,017",9,,27
Egypt,"515,645",,"24,613",,,"48,850","4,857",232,"34,792",Africa,"4,313",29,,460
Libya,"507,153",,"6,437",,,41,"72,031",914,"352,725",Africa,"1,094",3,,6
Ethiopia,"498,733",,"7,572",,,"7,915","4,128",63,"44,971",Africa,"15,955",22,,66
Qatar,"490,797",,685,,,540,"164,702",230,"1,364,257",Asia,"4,350",1,,181
Réunion,"480,501",,907,,,"61,022","529,151",999,"1,766,027",Africa,"1,001",1,,"67,200"
Honduras,"468,048",,"11,088",,N/A,N/A,"45,792","1,085","156,774",North America,922,6,,"31,739"
Armenia,"445,976",,"8,716",,,"2,098","150,061","2,933","1,091,164",Asia,341,1,,706
Bosnia and Herzegovina,"401,092",,"16,235",,,"6,008","123,439","4,996","579,373",Europe,200,2,,"1,849"
Oman,"399,154",,"4,260",,,"10,225","74,973",800,"4,695,724",Asia,"1,250",0,,"1,921"
North Macedonia,"345,857",,"9,614",,,264,"166,173","4,619","1,061,236",Europe,216,1,,127
Kenya,"342,608",,"5,688",,,115,"6,095",101,"70,465",Africa,"9,883",14,,2
Zambia,"335,722",,"4,030",,,"1,118","17,243",207,"195,182",Africa,"4,831",5,,57
Albania,"333,948",,"3,595",,,"1,649","116,505","1,254","677,173",Europe,797,1,,575
Botswana,"328,230",,"2,795",,,"1,688","134,456","1,145","830,300",Africa,873,1,,691
Luxembourg,"297,757",,"1,133",,,"7,633","463,528","1,764","6,869,188",Europe,567,0,,"11,883"
Montenegro,"285,160",,"2,791",,,440,"454,113","4,445","4,272,796",Europe,225,0,,701
Algeria,"271,255",,"6,881",,,"81,706","5,981",152,"5,091",Africa,"6,591",196,,"1,802"
Brunei,"270,199",,225,,,"26,373","606,601",505,"1,611,437",Asia,"1,980",1,,"59,208"
Nigeria,"266,463",,"3,155",,,"3,458","1,229",15,"26,339",Africa,"68,700",38,,16
Zimbabwe,"259,981",,"5,637",,,667,"16,957",368,"164,744",Africa,"2,720",6,,44
Uzbekistan,"250,039",,"1,637",,,"6,916","7,272",48,"40,077",Asia,"21,003",25,,201
Mozambique,"231,219",,"2,232",,,186,"6,988",67,"41,437",Africa,"14,825",24,,6
Martinique,"225,249",,"1,079",,N/A,N/A,"602,130","2,884","2,215,870",North America,347,0,,"598,968"
Laos,"217,887",+19,758,,N/A,N/A,"29,125",101,"164,845",Asia,"9,869",6,,"28,000"
Iceland,"208,298",,229,,N/A,N/A,"603,075",663,"5,780,036",Europe,"1,508",0,,"383,285"
Afghanistan,"207,841",,"7,854",,,"14,265","5,100",193,"28,977",Asia,"5,189",35,,350
Kyrgyzstan,"206,586",,"2,991",,,"7,189","30,704",445,"283,460",Asia,"2,250",4,,"1,068"
El Salvador,"201,785",,"4,230",,,"18,145","30,805",646,"398,467",North America,"1,549",3,,"2,770"
Guadeloupe,"199,988",,999,,N/A,N/A,"500,228","2,499","2,346,306",North America,400,0,,"492,101"
Trinidad and Tobago,"186,279",,"4,289",,,159,"132,434","3,049","625,437",North America,328,2,,113
Maldives,"185,702",,311,,,"21,704","343,266",575,"4,092,223",Asia,"1,740",0,,"40,119"
Ghana,"171,065",,"1,461",,,18,"5,281",45,"77,945",Africa,"22,173",13,,0.6
Namibia,"170,295",,"4,082",,,252,"64,656","1,550","403,460",Africa,645,2,,96
Uganda,"170,209",,"3,630",,,"66,148","3,514",75,"62,198",Africa,"13,342",16,,"1,366"
Jamaica,"152,827",,"3,465",,,"47,366","51,197","1,161","396,633",North America,861,3,,"15,868"
